Class Index,Title,Description
3,Telecom lifts first quarter net profit 19pc,Telecom Corp today reported its September first quarter net profit rose 19 per cent to \$193 million. The profit bettered analysts #39; average forecasts of \$185m.
3,Comcast gets option on TW Cable,NEW YORK (CBS.MW) -- Comcast said Monday that it has an option to cut its stake in Time Warner Cable to 17 percent from 21 percent in exchange for stock in a unit that will hold cable-television systems and cash.
2,"Pedro, GM welcome challenge that awaits",The Boston Red Sox could offer Pedro Martinez the still-dizzying celebration of a city that he helped to a historic World Series championship.
3,"Temasek May Buy Stakes in Minsheng Bank, Medco to Expand Abroad","Temasek Holdings Pte, a \$53 billion Singapore government fund, may buy stakes in China #39;s first private bank and Indonesia #39;s biggest listed oil company as it steps up investments abroad."
1,U.N.: Traces of Plutonium Found in Egypt (AP),"AP - U.N. experts have found traces of plutonium near an Egyptian nuclear facility and are investigating whether it could be weapons-related or simply a byproduct of the country's peaceful atomic activities, diplomats told The Associated Press on Friday."
4,"Judge Weighs Evidence in IBM, SCO Case",IBM attorneys argued that Utah-based SCO Group has failed to provide any evidence that IBM allowed proprietary Unix code to enter the freely distributed Linux operating system and its \$5 billion suit making that claim should be dismissed.
1,Large Explosion Heard in Central Baghdad (Reuters),"Reuters - A large blast was heard in central\Baghdad on Thursday, witnesses said."
1,Japan to Protest to China Over Intruder Submarine," TOKYO (Reuters) - Japan will protest to China after  concluding that a nuclear-powered submarine that intruded into  its waters this week belonged to the Chinese navy, top  government spokesman Hiroyuki Hosoda said on Friday."
1,Arafat #39;s Health Record Submitted to Palestinian Authority,"The health records of Yasser Arafat, who died at Percy Military hospital near Paris last month, have been submitted to Palestinian authorities."
4,Mobile phone  #39;deafness #39; risk,"p2pnet.net News:- Defects in Siemens 65 series mobile phones could cause deafness, says the company.  quot;In extreme cases, this volume could lead to hearing damage."
1,Stocks Drop After Greenspan Testimony,"NEW YORK - Investors were unmoved by Federal Reserve Chairman Alan Greenspan's improved assessment of the economy, with stocks falling narrowly Wednesday in light trading.    While Greenspan said the economy has ""regained some traction"" after the summer's slowdown, he echoed Wall Street's concerns over energy prices, which have fallen from record highs in recent weeks but stubbornly remain above \$40 per barrel..."
2,Nuggets Knock Off Hornets 76-67 (AP),AP - Earl Boykins scored 22 points to help the Denver Nuggets overcome the absence of Carmelo Anthony and defeat the New Orleans Hornets 76-67 on Monday night.
1,Russia seeks island conflict resolution,"Russia has begun making overtures to Japan to end a 48-year-old territorial dispute over the Southern Kurile Islands, the Novosti news agency said Monday."
1,Moderate Republicans Criticize Bush (AP),"AP - A group of moderate Republicans, many long out of office, called on President Bush and the Republican party to ""come back to the mainstream"" on the eve of the Republican National Convention."
3,Michigan regulators allow SBC to charge more for use of its &lt;b&gt;...&lt;/b&gt;,"State regulators unanimously voted Tuesday to allow SBC Communications Inc. to charge competitors more to use its network, but it was unclear when, or if, that increase would be felt "
1,Serial blasts rock NE: 19 killed,"GUWAHATI: A string of powerful bomb blasts rocked Nagaland and Assam on the birth anniversary of Mahatma Gandhi Saturday, killing at least 19 people and injuring more than 50."
2,BRDC waiting for a proposal,"The Formula 1 teams say that the British Grand Prix is saved but the owners of Silverstone, the British Racing Drivers #39; Club do not yet have a deal with Formula One Management."
2,Giddy Phelps Touches Gold for First Time,Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.
4,ATI launches chipset for AMD desktops,"ATI Technologies on Monday delivered the Radeon Xpress 200, a new chipset for desktops using Advanced Micro Devices #39; Athlon 64 and other eighth-generation processors."
2,Bills' Williams Sustains Neck Injury (AP),AP - Bills right tackle Mike Williams sustained a neck injury and was driven off the field in an ambulance during the third quarter of Buffalo's 22-17 victory over the New York Jets on Sunday.
4,Date with destiny for private rocketeers,LAS VEGAS - A three-seat rocket plane with stubby wings and a nose studded with round windows will try to blast out of Earth #39;s atmosphere above the Mojave Desert today to qualify for a US\$10 million (\$15.
4,Russians to see full lunar eclipse Thursday morning,"MOSCOW, October 28 (Itar-Tass) - People in Russia #39;s European part will have an opportunity to see a full eclipse of the Moon during several hours Thursday morning, said Dr Andrei Finkelshtein, director of the Russian Institute of Applied Astronomy."
2,US men #39;s basketball routs Angola,"Athens, Greece (Sports Network) - Tim Duncan led a balanced American attack with 15 points and seven rebounds, as the United States men #39;s basketball team completed the preliminary round with a resounding 89-53 victory over winless Angola."
1,"U.S. Softball Team Wins, Closes in on Gold","ATHENS, Greece - Right now, the Americans aren't just a Dream Team - they're more like the Perfect Team. Lisa Fernandez pitched a three-hitter Sunday and Crystl Bustos drove in two runs as the Americans rolled to their eighth shutout in eight days, 5-0 over Australia, putting them into the gold medal game..."
1,Sex Toy Shuts Down Australian Airport,A scare triggered by a vibrating sex toy shut down a major Australian regional airport for almost an hour on Monday. The vibrating object was discovered on Monday morning inside a garbage can at the terminal
4,Cisco to debut new router family,Internet hardware giant Cisco Systems is said to be preparing to launch a new family of routers that can manage both voice and data applications.
1,Former Philippine presidential candidate in deteriorating &lt;b&gt;...&lt;/b&gt;,"The former presidential candidate and movie actor Fernando Poe Jr. #39;s condition has deteriorated after he suffered a stroke, doctors said Monday."
1,A Founding Father?,"Give the guy some credit. Tung Chee-hwa, Hong Kong #39;s embattled Chief Executive, gets precious little of it from his people these daysand heaps of "
2,Roundup: Pleasantly Perfect takes Pacific Classic,Favored Pleasantly Perfect took charge down the stretch to win by a length in the 14th running of the \$1 million Pacific Classic yesterday at Del Mar. Pleasantly
1,Kidnapped Turk Killed in Afghanistan -- Witness,"A Turkish engineer abducted by a militant gang in eastern Afghanistan was found dead on Wednesday, a witness who saw the body being carried down from a mountainside told Reuters."
4,"Business Objects touts dashboards, standardization",Business Objects executives this week touted dashboard technology features and rallied support for standardization on their new business intelligence software -- two hot-button issues for users here at the company's International Users Conference.
2,A Deal That's Creating Plenty of Buzz About the Mets,The prospect of Pedro Martnez going to Queens is potentially the best news in years for the Mets. They have now won a public relations battle with the Yankees.
3,Social Security Reform a Boon for Funds? (Reuters),"Reuters - The bonanza many believe President\Bush has handed the mutual fund industry with his plans to\reform Social Security may be a mirage, industry leaders said\on Friday."
4,Corning begins work on Taiwan LCD facility,"Encouraged by the demand for LCDs, glass maker Corning on Thursday said it has broken ground for a second manufacturing facility in Taiwan."
3,Fed Sticks With Its 'Measured' Pace, Federal Reserve officials agreed at a meeting in September that they probably would keep raising their benchmark interest rate in coming quarters because of the likelihood of continued solid economic growth.
3,Vodafone Drops on Report It Supports Bid for Sprint (Update2),"Shares in Vodafone Group Plc, the world #39;s largest mobile-phone operator, dropped after The Wall Street Journal said the company is considering bidding with US partner Verizon Communications Inc."
3,Knight Ridder Says It Will Miss Targets,"Knight Ridder Inc. expects third-quarter earnings to exceed expectations, largely due to a per-share gain of 9 cents related to the finalization of certain tax matters."
3,CAT and AstraZeneca enter \$175m collaboration,AstraZeneca intends to invest over 120m in Cambridge Antibody Technology (CAT) through an innovative five-year research collaboration and a 75m equity
3,"Florida, Alabama pick up the pieces after Ivan",People in Florida and Alabama have started to clean up after hurricane Ivan - the third such pummelling for Florida alone in just five weeks.
3,Molson Will Pay Dividend to Push Through Coors Merger (Update6),"Molson Inc., Canada #39;s biggest beermaker, said it will pay minority shareholders a special dividend to overcome opposition to its planned C\$3."
2,Local knowledge produced benefits,"Patriots fans had one of their own working Sunday's regular-season finale against the 49ers. Fox producer P.T. Navarro considers himself a New Englander, even though he moved around the country as the son of college football coach Frank Navarro (Columbia, Wabash, Princeton)."
4,AMD Launches Low-Cost Web Device,"Advanced Micro Devices is launching a low-cost Internet access device dubbed  quot;PIC, quot; or personal Internet communicator, targeted at first-time computer users in the developing world."
3,Johnson  amp; Johnson Facing Single-Digit Growth,Credit Suisse First Boston said it was  quot;still cautious quot; regarding Johnson  amp; Johnson (nyse: JNJ - news - people ) after the company reported quarterly results above Wall Street estimates.
4,Millions to miss out on the net,"Around 40 of the UK will still be without internet access at home by 2025, warns a study by telecoms giant BT."
1,Tough Talks Ahead After EU Is Criticized,"Efforts to forge the world's largest free trade zone between the European Union and South America's Mercosur economic bloc are unlikely to be concluded by an Oct. 31 deadline, the EU said Thursday, with both sides declaring each other's trade offers insufficient."
2,Huskies blank Buffalo,"Dan Orlovsky threw for 283 yards and a touchdown in his final home game yesterday to lead Connecticut to a 29-0 victory over Buffalo, assuring the Huskies of a winning record and making them eligible for a bowl bid."
3,NTL sells broadcast unit for 1.27bn to Macquarie,"NTL, the UKs largest cable company, has agreed to sell its radio and television broadcasting business for 1.27bn to a fund managed by Australias Macquarie Bank."
4,Novell #39;s Microsoft attack completes Linux conversion,"Novell Inc. has completed its conversion to Linux by launching an attack on Microsoft Corp., claiming that the company has stifled software innovation and that the market will abandon Microsoft Windows at some point in the future."
3,Boeing trying to keep up Aircraftmaker seeks buyers for new &lt;b&gt;...&lt;/b&gt;,"Seattle -- The assembly line at Boeing Co. #39;s cavernous Everett plant near here is designed to keep moving continuously, if almost imperceptibly, as workers scramble over the silvery bodies of skeletal Boeing 777s, applying finishing touches."
4,Chinese Mobile Phone Giant to Open Up to 3000 Internet Cafes,"China #39;s second-largest mobile phone company says it plans to open up to 3,000 Internet cafes by the end of this year. State-controlled China Unicom, which already operates 400 Internet cafes across the country "
2,Bonds getting better with age,"Barry Bonds continues to defy the odds, and at 40 years of age he is still easily the most dominant hitter in Major League Baseball."
3,Walgreen 4th-Qtr Net Rises 18 Percent on Drug Sales (Update1),"Walgreen Co., the largest US drugstore chain, said fourth-quarter profit rose 18 percent, helped by sales of prescription drugs. Net income had its biggest gain in almost two years, climbing "
2,Cink Justifies Sutton #39;s Faith,"Three weeks away from the Ryder Cup, American Stewart Cink hopes he has silenced at least some of his critics - if indeed they exist."
2,"Athletics 5, Devil Rays 0","Barry Zito scattered four hits over eight shutout innings, leading the AL West-leading Oakland Athletics past the Tampa Bay Devil Rays 5-0 on Saturday night."
1,Taiwan Rescuers Dig Out 7 Bodies Buried in Landslide," TAIPEI (Reuters) - Taiwan rescue workers dug out seven  bodies from mud and rock in a mountain village that was hit by  a devastating landslide triggered by Typhoon Aere, but eight  still remained buried, officials said on Friday."
