Text	Valence
a stirring , funny and finally transporting re-imagining of beauty and the beast and 0920s horror films	2
apparently reassembled from the cutting-room floor of any given daytime soap .	0
they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .	0
the entire movie is filled with deja vu moments .	1
this is a visually stunning rumination on love , memory , history and the war between art and commerce .	2
um , no. .	1
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .	2
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .	2
a fan film that for the uninitiated plays better on video with the sound turned down .	0
béart and berling are both superb , while huppert ... is magnificent .	2
a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .	0
the film is strictly routine .	0
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .	2
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .	0
for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .	0
this is a stunning film , a one-of-a-kind tour de force .	2
may be more genial than ingenious , but it gets the job done .	2
there is a freedom to watching stunts that are this crude , this fast-paced and this insane .	2
if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .	0
as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .	2
final verdict : you 've seen it all before .	0
blue crush follows the formula , but throws in too many conflicts to keep the story compelling .	0
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .	0
a slick , engrossing melodrama .	2
a wretched movie that reduces the second world war to one man 's quest to find an old flame .	0
eccentric enough to stave off doldrums , caruso 's self-conscious debut is also eminently forgettable .	1
will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic .	0
one of -lrb- jaglom 's -rrb- better efforts -- a wry and sometime bitter movie about love .	1
lacks the inspiration of the original and has a bloated plot that stretches the running time about 00 minutes past a child 's interest and an adult 's patience .	0
the santa clause 1 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .	2
