,Title,Passage,Question,Answer
0,Triamcinolone acetonide,"Triamcinolone acetonide as an intra-articular injectable has been used to treat a variety of musculoskeletal conditions. When applied as a topical ointment, applied to the skin, it is used to mitigate blistering from poison ivy, oak, and sumac, . When combined with Nystatin, it is used to treat skin infections with discomfort from fungus, though it should not be used on the eyes, mouth, or genital area. It provides relatively immediate relief and is used before using oral prednisone. Oral and dental paste preparations are used for treating aphthous ulcers.",can triamcinolone cream be used for poison ivy,True
1,The Twilight Zone Tower of Terror,"The Twilight Zone Tower of Terror, also known as Tower of Terror, is an accelerated drop tower dark ride located at Disney's Hollywood Studios, Tokyo DisneySea, Walt Disney Studios Park, and formerly located at Disney California Adventure Park. Except for the Tokyo DisneySea version, the attractions are inspired by Rod Serling's anthology television series, The Twilight Zone, and take place in the fictional Hollywood Tower Hotel in Hollywood, California. The Tokyo version, which features an original story line not related to The Twilight Zone, takes place in the fictional Hotel Hightower. All three versions place riders in a seemingly ordinary hotel elevator, and present the riders with a fictional backstory in which people have mysteriously disappeared from the elevator under the influence of some supernatural element many years previously.",is the tower of terror in magic kingdom,False
2,Visa policy of Svalbard,"Uniquely, the Norwegian archipelago of Svalbard is an entirely visa-free zone. Everybody may live and work in Svalbard indefinitely regardless of country of citizenship. The Svalbard Treaty grants treaty nationals equal right of abode as Norwegian nationals. Non-treaty nationals may live and work indefinitely visa-free as well. Per Sefland, then Governor of Svalbard, said ``It has been a chosen policy so far that we haven't made any difference between the treaty citizens and those from outside the treaty''. ``Regulations concerning rejection and expulsion from Svalbard'' are in force on a non-discriminatory basis. Grounds for exclusion include lack of means of support, and violation of laws or regulations. Same-day visa-free transit at Oslo Airport is possible when travelling on non-stop flights to Svalbard.",do i need a visa to visit svalbard,False
3,Mariana Trench,"This was followed by the unmanned ROVs Kaikō in 1996 and Nereus in 2009. The first three expeditions directly measured very similar depths of 10,902 to 10,916 m (35,768 to 35,814 ft). The fourth was made by Canadian film director James Cameron in 2012. On 26 March, he reached the bottom of the Mariana Trench in the submersible vessel Deepsea Challenger.",have we reached the bottom of the mariana trench,True
4,Royal Caribbean Cruises Ltd.,"Royal Caribbean Cruises Ltd. is an American global cruise company incorporated in Liberia and based in Miami, Florida. It is the world's second-largest cruise line operator, after Carnival Corporation & plc. As of March 2009, Royal Caribbean Cruises Ltd. fully owns three cruise lines: Royal Caribbean International, Celebrity Cruises, and Azamara Club Cruises. They also hold a 67% stake in Silversea Cruises, a 50% stake in TUI Cruises and 49% stakes in Pullmantur Cruises and CDF Croisières de France. Previously Royal Caribbean Cruises also owned 50% of Island Cruises, but this was sold to TUI Travel PLC in October 2008.",is royal caribbean cruise line owned by carnival,False
5,The 100 (TV series),"In March 2017, The CW renewed the series for a fifth season, which premiered on April 24, 2018. In May 2018, the series was renewed for a sixth season.",are they gonna make a season 5 of the 100,True
6,Environmental issues in Australia,"Climate change is now a major political talking point in Australia in the last two decades. Persistent drought, and resulting water restrictions during the first decade of the twenty-first century, are an example of natural events' tangible effect on economic and political realities .",are there any major water concerns for australia,True
7,Maple syrup,"Maple syrup is a syrup usually made from the xylem sap of sugar maple, red maple, or black maple trees, although it can also be made from other maple species. In cold climates, these trees store starch in their trunks and roots before winter; the starch is then converted to sugar that rises in the sap in late winter and early spring. Maple trees are tapped by drilling holes into their trunks and collecting the exuded sap, which is processed by heating to evaporate much of the water, leaving the concentrated syrup.",does maple syrup come straight from the tree,False
8,Snellen chart,"A Snellen chart is an eye chart that can be used to measure visual acuity. Snellen charts are named after the Dutch ophthalmologist Herman Snellen, who developed the chart in 1862. Many ophthalmologists and vision scientists now use an improved chart known as the LogMAR chart.",do all eye doctors use the same eye chart,False
9,Check (chess),"In friendly games, the checking player customarily says ``check'' when making a checking move. Announcing ``check'' is not required under the rules of chess and it is usually not done in formal games. Until the early 20th century a player was expected to announce ``check'', and some sources of rules even required it (Hooper & Whyld 1992:74).",do we have to say check in chess,False
