id,text,aspect_term,aspect_term_polarity,aspect_term_from,aspect_term_to
2339,I charge it at night and skip taking the cord with me because of the good battery life.,cord,neutral,41,45
,I charge it at night and skip taking the cord with me because of the good battery life.,battery life,positive,74,86
812,I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,,,,
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,negative,27,41
,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",negative,109,121
,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,neutral,4,12
2328,I investigated netbooks and saw the Toshiba NB305-N410BL.,,,,
2193,"The other day I had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.",,,,
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,14,21
,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,positive,36,39
,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,118,130
,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,positive,143,146
2789,Easy to start up and does not overheat as much as other laptops.,start up,positive,8,16
425,Sad very SAD.,,,,
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,positive,46,54
,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,positive,77,82
,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,positive,84,94
,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,positive,96,107
747,Needless to say a PC that can't support a cell phone is less than useless!,,,,
80,Great laptop that offers many great features!,features,positive,36,44
796,they have done absolutely nothing to fix the computer problem.,,,,
917," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative,89,92
," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative,94,100
," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,neutral,111,122
," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,negative,131,147
1788,"Still pretty pricey, but I've been putting off money for a while as a little Macbook Fund, and finally got to use it.",,,,
1630,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,neutral,87,94
38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,50,66
,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,108,112
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,13,33
,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive,44,57
,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral,73,87
,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,115,121
1505,Plus it is small and reasonably light so I can take it with me to and from work.,,,,
263,I HATE this one.,,,,
1227,They were totally unconcerned that the computer was not correctly repaired in the first place.,,,,
1019,Toshiba does not send any one out unless you have paid extra to have the on site repair done.,,,,
1158,"Oh, boy!",,,,
1168,But while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with Apple.,,,,
2568,I love the way the entire suite of software works together.,suite of software,positive,26,43
295,The speed is incredible and I am more than satisfied.,speed,positive,4,9
951,on the bright side at least I wasn't without my laptop for long this time!,,,,
2759,This laptop meets every expectation and Windows 7 is great!,Windows 7,positive,40,49
2055,That's how frustrating it was.,,,,
2980,I can barely use any usb devices because they will not stay connected properly.,usb devices,negative,21,32
2454,"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.",,,,
1054,"-No backlit keyboard, but not an issue for me.",keyboard,conflict,12,20
743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,neutral,50,58
,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,negative,111,117
1155,I can't even turn it off.,,,,
2587,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,negative,51,79
2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,67,74
2799,I shopped around before buying.,,,,
2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",positive,32,46
,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral,80,86
2241,Would do business again.,,,,
92,The machine is slow to boot up and occasionally crashes completely.,boot up,negative,23,30
1204,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,46,53
2026,I have had the luxury (sarcasm) of owning 2 of these laptops.,,,,
535,What a waste.,,,,
478,It was a total Dhell experience that I will never repeat.,,,,
1690,There are a few flaws as well that I noticed.,,,,
1789,Completely worth every single penny dime and nickel.,,,,
250,I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.,,,,
325,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,conflict,26,33
324,:) In the past four years I've had it I have never once gotten a virus.,,,,
1574,I love the operating system and the preloaded software.,operating system,positive,11,27
,I love the operating system and the preloaded software.,preloaded software,positive,36,54
1005,"They were great in handling this problem, and I'm looking forward in purchasing additonal products from them in the future.",,,,
989,I've tried going back to XL but there still problems.,,,,
3073,The best thing about this laptop is the price along with some of the newer features.,price,positive,40,45
,The best thing about this laptop is the price along with some of the newer features.,features,positive,75,83
1254,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative,57,76
810,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,44,60
1346,But it may be potentially hundreds or thousands in the near future.,,,,
2383,Has met or exceeded my needs for a compact travel device.,,,,
130,but now i have realized its a problem with this brand.,brand,negative,48,53
1253,It cannot save the correct date and time I set.,,,,
839,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,59,67
1473,And this isn't just my one experine.,,,,
782,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,,,,
696,I was looking for a mac which is portable and has all the features that I was looking for.,features,positive,58,66
